Time (s),Rotation [X axis] (degrees/s),Rotation [Y axis] (degrees/s),Rotation [Z axis] (degrees/s),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Magnetic Flux Density [X axis] (micro-Tesla),Magnetic Flux Density [Y axis] (micro-Tesla),Magnetic Flux Density [Z axis] (micro-Tesla),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),
22.606,0.0191751,-0.0223709,0.0127834,-117.07,0.830276,1.12332,0.0239424,-0.809253,9.57695,58.2478,70.435,56.4995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
23.007,0.00852225,-0.0362195,0.0106528,-130.452,1.12332,0.927963,0.0670387,-0.761368,9.62005,58.6062,70.7934,57.5361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
23.408,0.00426112,-0.0436765,0.0117181,-120.879,1.02563,1.22101,0.0861926,-0.756579,9.57216,58.6062,70.435,57.8817,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
23.81,0.0202403,-0.0458071,0.0127834,-120.977,1.02563,1.22101,0.0574617,-0.756579,9.61526,58.6062,70.7934,56.1539,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
24.211,0.0159792,-0.026632,0.0127834,-120.684,0.830276,1.02563,0.00957695,-0.72306,9.59132,56.814,70.435,56.4995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
24.612,0.00639168,-0.0351543,0.0127834,-130.452,0.732605,1.22101,0.0670387,-0.742214,9.59132,57.8893,70.435,57.8817,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
25.014,0.00639168,-0.034089,0.0138486,-120.684,0.927963,1.12332,0.0766156,-0.775733,9.62484,58.6062,71.8688,57.1906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
25.415,0.00958753,-0.0447418,0.0127834,-116.386,0.830276,1.51404,0.0622502,-0.790099,9.56738,58.0685,71.3311,58.7456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
25.816,0.0202403,-0.0213056,0.0138486,-120.781,1.12332,1.02563,0.0478848,-0.770945,9.61526,57.8893,70.435,56.4995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
26.217,0.0127834,-0.0383501,0.00958753,-130.354,0.830276,1.41637,0.0814041,-0.72306,9.59611,59.1439,71.6896,55.6356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
